# cool                       heat                          temp                t1
8.278613361782066974e-31 2.000000000000000077e-26 1.294999999999999929e+01 1.000000000000000000e+01
9.844380832689267070e-31 2.000000000000000077e-26 1.325164425003576518e+01 1.023292992280754099e+01
1.166327629550732520e-30 2.000000000000000077e-26 1.356031469725914995e+01 1.047128548050899610e+01
1.376862155329740450e-30 2.000000000000000077e-26 1.387617500282700433e+01 1.071519305237606545e+01
1.619696578639223819e-30 2.000000000000000077e-26 1.419939264005424739e+01 1.096478196143185180e+01
1.898824913326440881e-30 2.000000000000000077e-26 1.453013898321042774e+01 1.122018454301963608e+01
2.218595833160899131e-30 2.000000000000000077e-26 1.486858939838463201e+01 1.148153621496882870e+01
2.583727263795530249e-30 2.000000000000000077e-26 1.521492333646690831e+01 1.174897554939529698e+01
2.999319827177121847e-30 2.000000000000000077e-26 1.556932442829549856e+01 1.202264434617413080e+01
3.470868968213012010e-30 2.000000000000000077e-26 1.593198058202034417e+01 1.230268770812381796e+01
4.004275601109129047e-30 2.000000000000000077e-26 1.630308408273446830e+01 1.258925411794167459e+01
4.605855122707162917e-30 2.000000000000000077e-26 1.668283169442608838e+01 1.288249551693134265e+01
5.282344652230209806e-30 2.000000000000000077e-26 1.707142476430547617e+01 1.318256738556407370e+01
6.040908370923293141e-30 2.000000000000000077e-26 1.746906932956190772e+01 1.348962882591653312e+01
6.889140850939442223e-30 2.000000000000000077e-26 1.787597622660736363e+01 1.380384264602885303e+01
7.835068280235548721e-30 2.000000000000000077e-26 1.829236120286466516e+01 1.412537544622754027e+01
8.887147508946710843e-30 2.000000000000000077e-26 1.871844503115975655e+01 1.445439770745927177e+01
1.005426286241972482e-29 2.000000000000000077e-26 1.915445362677828101e+01 1.479108388168207178e+01
1.134572068652215160e-29 2.000000000000000077e-26 1.960061816724889283e+01 1.513561248436207940e+01
1.277124161170031851e-29 2.000000000000000077e-26 2.005717521491662936e+01 1.548816618912481147e+01
1.434095054324654691e-29 2.000000000000000077e-26 2.052436684237141762e+01 1.584893192461113287e+01
1.606536440606044242e-29 2.000000000000000077e-26 2.100244076079814093e+01 1.621810097358929781e+01
1.795537769257263280e-29 2.000000000000000077e-26 2.149165045131640994e+01 1.659586907437560654e+01
2.002224588217779488e-29 2.000000000000000077e-26 2.199225529937958967e+01 1.698243652461744446e+01
2.227756681925459900e-29 2.000000000000000077e-26 2.250452073230440675e+01 1.737800828749375270e+01
2.473326015440976352e-29 2.000000000000000077e-26 2.302871836000404926e+01 1.778279410038922848e+01
2.740154496977985835e-29 2.000000000000000077e-26 2.356512611899928444e+01 1.819700858609983385e+01
3.029491572388902269e-29 2.000000000000000077e-26 2.411402841978413392e+01 1.862087136662867692e+01
3.342611666455576280e-29 2.000000000000000077e-26 2.467571629762405294e+01 1.905460717963247319e+01
3.680811486956150538e-29 2.000000000000000077e-26 2.525048756686668838e+01 1.949844599758045405e+01
4.045407208415927856e-29 2.000000000000000077e-26 2.583864697884699169e+01 1.995262314968879735e+01
4.437731553196606298e-29 2.000000000000000077e-26 2.644050638347040660e+01 2.041737944669529625e+01
4.859130788132951913e-29 2.000000000000000077e-26 2.705638489455981244e+01 2.089296130854039646e+01
5.310961655289596742e-29 2.000000000000000077e-26 2.768660905905390734e+01 2.137962089502232388e+01
5.794588255586910113e-29 2.000000000000000077e-26 2.833151303014670930e+01 2.187761623949553069e+01
6.311378904039477753e-29 2.000000000000000077e-26 2.899143874446000169e+01 2.238721138568340052e+01
6.862702975171330684e-29 2.000000000000000077e-26 2.966673610334265021e+01 2.290867652767772356e+01
7.449927756829150778e-29 2.000000000000000077e-26 3.035776315839299500e+01 2.344228815319922532e+01
8.074415330118246857e-29 2.000000000000000077e-26 3.106488630130239414e+01 2.398832919019490006e+01
8.737519492551032956e-29 2.000000000000000077e-26 3.178848045812115330e+01 2.454708915685031201e+01
9.440582740734077524e-29 2.000000000000000077e-26 3.252892928804905637e+01 2.511886431509579509e+01
1.018493332804688542e-28 2.000000000000000077e-26 3.328662538685679806e+01 2.570395782768864734e+01
1.097188241179224047e-28 2.000000000000000077e-26 3.406197049504518759e+01 2.630267991895381385e+01
1.180272130324608819e-28 2.000000000000000077e-26 3.485537571085355069e+01 2.691534803926915487e+01
1.267871883291235111e-28 2.000000000000000077e-26 3.566726170822924757e+01 2.754228703338166184e+01
1.360111884211687326e-28 2.000000000000000077e-26 3.649805895987466897e+01 2.818382931264453362e+01
